week_label,year,month,week,product_id,product_name,category,brand,stock_received_week,sold_qty_week,damaged_week,cum_stock,cum_sold,cum_damaged,current_inventory
2023-06 4주차,2023,6,4,4452,Baby Wipes,Baby Care,Morar-Mistry,9.0,3.0,6.0,108.0,14.0,56.0,94.0
2023-06 5주차,2023,6,5,4452,Baby Wipes,Baby Care,Morar-Mistry,3.0,0.0,0.0,111.0,14.0,56.0,97.0
2023-07 1주차,2023,7,1,4452,Baby Wipes,Baby Care,Morar-Mistry,18.0,0.0,0.0,129.0,14.0,56.0,115.0
2023-07 2주차,2023,7,2,4452,Baby Wipes,Baby Care,Morar-Mistry,9.0,1.0,8.0,138.0,15.0,64.0,123.0
2023-07 3주차,2023,7,3,4452,Baby Wipes,Baby Care,Morar-Mistry,6.0,0.0,2.0,144.0,15.0,66.0,129.0
2023-07 4주차,2023,7,4,4452,Baby Wipes,Baby Care,Morar-Mistry,6.0,1.0,2.0,150.0,16.0,68.0,134.0
2023-07 5주차,2023,7,5,4452,Baby Wipes,Baby Care,Morar-Mistry,3.0,0.0,2.0,153.0,16.0,70.0,137.0
2023-08 1주차,2023,8,1,4452,Baby Wipes,Baby Care,Morar-Mistry,12.0,0.0,4.0,165.0,16.0,74.0,149.0
2023-08 2주차,2023,8,2,4452,Baby Wipes,Baby Care,Morar-Mistry,9.0,0.0,2.0,174.0,16.0,76.0,158.0
2023-08 3주차,2023,8,3,4452,Baby Wipes,Baby Care,Morar-Mistry,9.0,0.0,4.0,183.0,16.0,80.0,167.0
2023-08 4주차,2023,8,4,4452,Baby Wipes,Baby Care,Morar-Mistry,6.0,0.0,6.0,189.0,16.0,86.0,173.0
2023-08 5주차,2023,8,5,4452,Baby Wipes,Baby Care,Morar-Mistry,3.0,0.0,2.0,192.0,16.0,88.0,176.0
2023-09 1주차,2023,9,1,4452,Baby Wipes,Baby Care,Morar-Mistry,9.0,1.0,8.0,201.0,17.0,96.0,184.0
2023-09 2주차,2023,9,2,4452,Baby Wipes,Baby Care,Morar-Mistry,18.0,2.0,4.0,219.0,19.0,100.0,200.0
2023-09 3주차,2023,9,3,4452,Baby Wipes,Baby Care,Morar-Mistry,6.0,0.0,4.0,225.0,19.0,104.0,206.0
2023-09 4주차,2023,9,4,4452,Baby Wipes,Baby Care,Morar-Mistry,0.0,2.0,8.0,225.0,21.0,112.0,204.0
2023-09 5주차,2023,9,5,4452,Baby Wipes,Baby Care,Morar-Mistry,6.0,0.0,2.0,231.0,21.0,114.0,210.0
2023-10 1주차,2023,10,1,4452,Baby Wipes,Baby Care,Morar-Mistry,6.0,0.0,2.0,237.0,21.0,116.0,216.0
2023-10 2주차,2023,10,2,4452,Baby Wipes,Baby Care,Morar-Mistry,12.0,3.0,0.0,249.0,24.0,116.0,225.0
2023-10 3주차,2023,10,3,4452,Baby Wipes,Baby Care,Morar-Mistry,9.0,0.0,8.0,258.0,24.0,124.0,234.0
2023-10 4주차,2023,10,4,4452,Baby Wipes,Baby Care,Morar-Mistry,6.0,0.0,2.0,264.0,24.0,126.0,240.0
2023-10 5주차,2023,10,5,4452,Baby Wipes,Baby Care,Morar-Mistry,0.0,0.0,2.0,264.0,24.0,128.0,240.0
2023-11 1주차,2023,11,1,4452,Baby Wipes,Baby Care,Morar-Mistry,3.0,0.0,2.0,267.0,24.0,130.0,243.0
2023-11 2주차,2023,11,2,4452,Baby Wipes,Baby Care,Morar-Mistry,12.0,0.0,2.0,279.0,24.0,132.0,255.0
2023-11 3주차,2023,11,3,4452,Baby Wipes,Baby Care,Morar-Mistry,6.0,1.0,4.0,285.0,25.0,136.0,260.0
2023-11 4주차,2023,11,4,4452,Baby Wipes,Baby Care,Morar-Mistry,6.0,0.0,4.0,291.0,25.0,140.0,266.0
2023-11 5주차,2023,11,5,4452,Baby Wipes,Baby Care,Morar-Mistry,6.0,0.0,2.0,297.0,25.0,142.0,272.0
2023-12 1주차,2023,12,1,4452,Baby Wipes,Baby Care,Morar-Mistry,9.0,0.0,0.0,306.0,25.0,142.0,281.0
2023-12 2주차,2023,12,2,4452,Baby Wipes,Baby Care,Morar-Mistry,6.0,0.0,6.0,312.0,25.0,148.0,287.0
2023-12 3주차,2023,12,3,4452,Baby Wipes,Baby Care,Morar-Mistry,3.0,0.0,2.0,315.0,25.0,150.0,290.0
2023-12 4주차,2023,12,4,4452,Baby Wipes,Baby Care,Morar-Mistry,12.0,0.0,6.0,327.0,25.0,156.0,302.0
2023-12 5주차,2023,12,5,4452,Baby Wipes,Baby Care,Morar-Mistry,6.0,0.0,0.0,333.0,25.0,156.0,308.0
2024-01 1주차,2024,1,1,4452,Baby Wipes,Baby Care,Morar-Mistry,12.0,0.0,4.0,345.0,25.0,160.0,320.0
2024-01 2주차,2024,1,2,4452,Baby Wipes,Baby Care,Morar-Mistry,12.0,2.0,6.0,357.0,27.0,166.0,330.0
2024-01 3주차,2024,1,3,4452,Baby Wipes,Baby Care,Morar-Mistry,9.0,0.0,4.0,366.0,27.0,170.0,339.0
2024-01 4주차,2024,1,4,4452,Baby Wipes,Baby Care,Morar-Mistry,9.0,3.0,2.0,375.0,30.0,172.0,345.0
2024-01 5주차,2024,1,5,4452,Baby Wipes,Baby Care,Morar-Mistry,3.0,0.0,0.0,378.0,30.0,172.0,348.0
2024-02 1주차,2024,2,1,4452,Baby Wipes,Baby Care,Morar-Mistry,9.0,0.0,4.0,387.0,30.0,176.0,357.0
2024-02 2주차,2024,2,2,4452,Baby Wipes,Baby Care,Morar-Mistry,9.0,0.0,2.0,396.0,30.0,178.0,366.0
2024-02 3주차,2024,2,3,4452,Baby Wipes,Baby Care,Morar-Mistry,9.0,0.0,0.0,405.0,30.0,178.0,375.0
2024-02 4주차,2024,2,4,4452,Baby Wipes,Baby Care,Morar-Mistry,18.0,0.0,0.0,423.0,30.0,178.0,393.0
2024-02 5주차,2024,2,5,4452,Baby Wipes,Baby Care,Morar-Mistry,3.0,0.0,0.0,426.0,30.0,178.0,396.0
2024-03 1주차,2024,3,1,4452,Baby Wipes,Baby Care,Morar-Mistry,12.0,0.0,4.0,438.0,30.0,182.0,408.0
2024-03 2주차,2024,3,2,4452,Baby Wipes,Baby Care,Morar-Mistry,9.0,0.0,6.0,447.0,30.0,188.0,417.0
2024-03 3주차,2024,3,3,4452,Baby Wipes,Baby Care,Morar-Mistry,3.0,0.0,10.0,450.0,30.0,198.0,420.0
2024-03 4주차,2024,3,4,4452,Baby Wipes,Baby Care,Morar-Mistry,6.0,0.0,2.0,456.0,30.0,200.0,426.0
2024-03 5주차,2024,3,5,4452,Baby Wipes,Baby Care,Morar-Mistry,3.0,0.0,0.0,459.0,30.0,200.0,429.0
2024-04 1주차,2024,4,1,4452,Baby Wipes,Baby Care,Morar-Mistry,6.0,0.0,4.0,465.0,30.0,204.0,435.0
2024-04 2주차,2024,4,2,4452,Baby Wipes,Baby Care,Morar-Mistry,3.0,0.0,2.0,468.0,30.0,206.0,438.0
2024-04 3주차,2024,4,3,4452,Baby Wipes,Baby Care,Morar-Mistry,9.0,0.0,4.0,477.0,30.0,210.0,447.0
2024-04 4주차,2024,4,4,4452,Baby Wipes,Baby Care,Morar-Mistry,3.0,1.0,6.0,480.0,31.0,216.0,449.0
2024-04 5주차,2024,4,5,4452,Baby Wipes,Baby Care,Morar-Mistry,3.0,0.0,0.0,483.0,31.0,216.0,452.0
2024-05 1주차,2024,5,1,4452,Baby Wipes,Baby Care,Morar-Mistry,15.0,0.0,2.0,498.0,31.0,218.0,467.0
2024-05 2주차,2024,5,2,4452,Baby Wipes,Baby Care,Morar-Mistry,3.0,0.0,2.0,501.0,31.0,220.0,470.0
2024-05 3주차,2024,5,3,4452,Baby Wipes,Baby Care,Morar-Mistry,9.0,0.0,2.0,510.0,31.0,222.0,479.0
2024-05 4주차,2024,5,4,4452,Baby Wipes,Baby Care,Morar-Mistry,3.0,0.0,2.0,513.0,31.0,224.0,482.0
2024-05 5주차,2024,5,5,4452,Baby Wipes,Baby Care,Morar-Mistry,3.0,0.0,2.0,516.0,31.0,226.0,485.0
2024-06 1주차,2024,6,1,4452,Baby Wipes,Baby Care,Morar-Mistry,12.0,2.0,4.0,528.0,33.0,230.0,495.0
2024-06 2주차,2024,6,2,4452,Baby Wipes,Baby Care,Morar-Mistry,9.0,0.0,0.0,537.0,33.0,230.0,504.0
2024-06 3주차,2024,6,3,4452,Baby Wipes,Baby Care,Morar-Mistry,12.0,0.0,8.0,549.0,33.0,238.0,516.0
2024-06 4주차,2024,6,4,4452,Baby Wipes,Baby Care,Morar-Mistry,12.0,0.0,6.0,561.0,33.0,244.0,528.0
2024-06 5주차,2024,6,5,4452,Baby Wipes,Baby Care,Morar-Mistry,3.0,0.0,0.0,564.0,33.0,244.0,531.0
2024-07 1주차,2024,7,1,4452,Baby Wipes,Baby Care,Morar-Mistry,12.0,2.0,2.0,576.0,35.0,246.0,541.0
2024-07 2주차,2024,7,2,4452,Baby Wipes,Baby Care,Morar-Mistry,9.0,0.0,6.0,585.0,35.0,252.0,550.0
2024-07 3주차,2024,7,3,4452,Baby Wipes,Baby Care,Morar-Mistry,3.0,0.0,2.0,588.0,35.0,254.0,553.0
2024-07 4주차,2024,7,4,4452,Baby Wipes,Baby Care,Morar-Mistry,6.0,0.0,4.0,594.0,35.0,258.0,559.0
2024-07 5주차,2024,7,5,4452,Baby Wipes,Baby Care,Morar-Mistry,6.0,0.0,4.0,600.0,35.0,262.0,565.0
2024-08 1주차,2024,8,1,4452,Baby Wipes,Baby Care,Morar-Mistry,9.0,0.0,0.0,609.0,35.0,262.0,574.0
2024-08 2주차,2024,8,2,4452,Baby Wipes,Baby Care,Morar-Mistry,6.0,0.0,2.0,615.0,35.0,264.0,580.0
2024-08 3주차,2024,8,3,4452,Baby Wipes,Baby Care,Morar-Mistry,6.0,0.0,6.0,621.0,35.0,270.0,586.0
2024-08 4주차,2024,8,4,4452,Baby Wipes,Baby Care,Morar-Mistry,9.0,0.0,2.0,630.0,35.0,272.0,595.0
2024-08 5주차,2024,8,5,4452,Baby Wipes,Baby Care,Morar-Mistry,3.0,0.0,0.0,633.0,35.0,272.0,598.0
2024-09 1주차,2024,9,1,4452,Baby Wipes,Baby Care,Morar-Mistry,12.0,0.0,4.0,645.0,35.0,276.0,610.0
2024-09 2주차,2024,9,2,4452,Baby Wipes,Baby Care,Morar-Mistry,9.0,0.0,2.0,654.0,35.0,278.0,619.0
2024-09 3주차,2024,9,3,4452,Baby Wipes,Baby Care,Morar-Mistry,6.0,0.0,4.0,660.0,35.0,282.0,625.0
2024-09 4주차,2024,9,4,4452,Baby Wipes,Baby Care,Morar-Mistry,9.0,1.0,0.0,669.0,36.0,282.0,633.0
2024-09 5주차,2024,9,5,4452,Baby Wipes,Baby Care,Morar-Mistry,3.0,2.0,0.0,672.0,38.0,282.0,634.0
2024-10 1주차,2024,10,1,4452,Baby Wipes,Baby Care,Morar-Mistry,6.0,0.0,6.0,678.0,38.0,288.0,640.0
2024-10 2주차,2024,10,2,4452,Baby Wipes,Baby Care,Morar-Mistry,6.0,0.0,0.0,684.0,38.0,288.0,646.0
2024-10 3주차,2024,10,3,4452,Baby Wipes,Baby Care,Morar-Mistry,6.0,0.0,4.0,690.0,38.0,292.0,652.0
2024-10 4주차,2024,10,4,4452,Baby Wipes,Baby Care,Morar-Mistry,6.0,1.0,6.0,696.0,39.0,298.0,657.0
2024-10 5주차,2024,10,5,4452,Baby Wipes,Baby Care,Morar-Mistry,3.0,0.0,2.0,699.0,39.0,300.0,660.0
2024-11 1주차,2024,11,1,4452,Baby Wipes,Baby Care,Morar-Mistry,6.0,0.0,2.0,705.0,39.0,302.0,666.0
2023-03 3주차,2023,3,3,6405,Baby Food,Baby Care,Kashyap-Reddy,6.0,0.0,4.0,6.0,0.0,4.0,6.0
2023-03 4주차,2023,3,4,6405,Baby Food,Baby Care,Kashyap-Reddy,7.0,0.0,4.0,13.0,0.0,8.0,13.0
2023-03 5주차,2023,3,5,6405,Baby Food,Baby Care,Kashyap-Reddy,4.0,0.0,0.0,17.0,0.0,8.0,17.0
2023-04 1주차,2023,4,1,6405,Baby Food,Baby Care,Kashyap-Reddy,7.0,0.0,2.0,24.0,0.0,10.0,24.0
2023-04 2주차,2023,4,2,6405,Baby Food,Baby Care,Kashyap-Reddy,12.0,0.0,2.0,36.0,0.0,12.0,36.0
2023-04 3주차,2023,4,3,6405,Baby Food,Baby Care,Kashyap-Reddy,13.0,1.0,4.0,49.0,1.0,16.0,48.0
2023-04 4주차,2023,4,4,6405,Baby Food,Baby Care,Kashyap-Reddy,1.0,0.0,2.0,50.0,1.0,18.0,49.0
2023-04 5주차,2023,4,5,6405,Baby Food,Baby Care,Kashyap-Reddy,4.0,0.0,2.0,54.0,1.0,20.0,53.0
2023-05 1주차,2023,5,1,6405,Baby Food,Baby Care,Kashyap-Reddy,13.0,0.0,2.0,67.0,1.0,22.0,66.0
2023-05 2주차,2023,5,2,6405,Baby Food,Baby Care,Kashyap-Reddy,0.0,0.0,2.0,67.0,1.0,24.0,66.0
2023-05 3주차,2023,5,3,6405,Baby Food,Baby Care,Kashyap-Reddy,4.0,0.0,2.0,71.0,1.0,26.0,70.0
2023-05 4주차,2023,5,4,6405,Baby Food,Baby Care,Kashyap-Reddy,0.0,0.0,4.0,71.0,1.0,30.0,70.0
2023-05 5주차,2023,5,5,6405,Baby Food,Baby Care,Kashyap-Reddy,0.0,0.0,4.0,71.0,1.0,34.0,70.0
2023-06 1주차,2023,6,1,6405,Baby Food,Baby Care,Kashyap-Reddy,3.0,0.0,4.0,74.0,1.0,38.0,73.0
2023-06 2주차,2023,6,2,6405,Baby Food,Baby Care,Kashyap-Reddy,10.0,0.0,6.0,84.0,1.0,44.0,83.0
2023-06 3주차,2023,6,3,6405,Baby Food,Baby Care,Kashyap-Reddy,7.0,0.0,2.0,91.0,1.0,46.0,90.0
2023-06 4주차,2023,6,4,6405,Baby Food,Baby Care,Kashyap-Reddy,4.0,0.0,2.0,95.0,1.0,48.0,94.0
2023-06 5주차,2023,6,5,6405,Baby Food,Baby Care,Kashyap-Reddy,0.0,0.0,2.0,95.0,1.0,50.0,94.0
2023-07 1주차,2023,7,1,6405,Baby Food,Baby Care,Kashyap-Reddy,5.0,0.0,0.0,100.0,1.0,50.0,99.0
2023-07 2주차,2023,7,2,6405,Baby Food,Baby Care,Kashyap-Reddy,13.0,0.0,2.0,113.0,1.0,52.0,112.0
2023-07 3주차,2023,7,3,6405,Baby Food,Baby Care,Kashyap-Reddy,4.0,0.0,6.0,117.0,1.0,58.0,116.0
2023-07 4주차,2023,7,4,6405,Baby Food,Baby Care,Kashyap-Reddy,7.0,0.0,2.0,124.0,1.0,60.0,123.0
2023-07 5주차,2023,7,5,6405,Baby Food,Baby Care,Kashyap-Reddy,4.0,0.0,0.0,128.0,1.0,60.0,127.0
2023-08 1주차,2023,8,1,6405,Baby Food,Baby Care,Kashyap-Reddy,14.0,3.0,2.0,142.0,4.0,62.0,138.0
2023-08 2주차,2023,8,2,6405,Baby Food,Baby Care,Kashyap-Reddy,3.0,0.0,2.0,145.0,4.0,64.0,141.0
2023-08 3주차,2023,8,3,6405,Baby Food,Baby Care,Kashyap-Reddy,1.0,1.0,2.0,146.0,5.0,66.0,141.0
2023-08 4주차,2023,8,4,6405,Baby Food,Baby Care,Kashyap-Reddy,16.0,2.0,2.0,162.0,7.0,68.0,155.0
2023-08 5주차,2023,8,5,6405,Baby Food,Baby Care,Kashyap-Reddy,3.0,0.0,4.0,165.0,7.0,72.0,158.0
2023-09 1주차,2023,9,1,6405,Baby Food,Baby Care,Kashyap-Reddy,3.0,0.0,2.0,168.0,7.0,74.0,161.0
2023-09 2주차,2023,9,2,6405,Baby Food,Baby Care,Kashyap-Reddy,4.0,0.0,6.0,172.0,7.0,80.0,165.0
2023-09 3주차,2023,9,3,6405,Baby Food,Baby Care,Kashyap-Reddy,1.0,0.0,0.0,173.0,7.0,80.0,166.0
2023-09 4주차,2023,9,4,6405,Baby Food,Baby Care,Kashyap-Reddy,4.0,4.0,2.0,177.0,11.0,82.0,166.0
2023-09 5주차,2023,9,5,6405,Baby Food,Baby Care,Kashyap-Reddy,0.0,0.0,2.0,177.0,11.0,84.0,166.0
2023-10 1주차,2023,10,1,6405,Baby Food,Baby Care,Kashyap-Reddy,1.0,1.0,4.0,178.0,12.0,88.0,166.0
2023-10 2주차,2023,10,2,6405,Baby Food,Baby Care,Kashyap-Reddy,10.0,0.0,2.0,188.0,12.0,90.0,176.0
2023-10 3주차,2023,10,3,6405,Baby Food,Baby Care,Kashyap-Reddy,6.0,0.0,0.0,194.0,12.0,90.0,182.0
2023-10 4주차,2023,10,4,6405,Baby Food,Baby Care,Kashyap-Reddy,3.0,0.0,2.0,197.0,12.0,92.0,185.0
2023-10 5주차,2023,10,5,6405,Baby Food,Baby Care,Kashyap-Reddy,7.0,0.0,4.0,204.0,12.0,96.0,192.0
2023-11 1주차,2023,11,1,6405,Baby Food,Baby Care,Kashyap-Reddy,4.0,0.0,0.0,208.0,12.0,96.0,196.0
2023-11 2주차,2023,11,2,6405,Baby Food,Baby Care,Kashyap-Reddy,0.0,0.0,2.0,208.0,12.0,98.0,196.0
2023-11 3주차,2023,11,3,6405,Baby Food,Baby Care,Kashyap-Reddy,7.0,0.0,6.0,215.0,12.0,104.0,203.0
2023-11 4주차,2023,11,4,6405,Baby Food,Baby Care,Kashyap-Reddy,10.0,0.0,2.0,225.0,12.0,106.0,213.0
2023-11 5주차,2023,11,5,6405,Baby Food,Baby Care,Kashyap-Reddy,0.0,0.0,2.0,225.0,12.0,108.0,213.0
2023-12 1주차,2023,12,1,6405,Baby Food,Baby Care,Kashyap-Reddy,16.0,0.0,4.0,241.0,12.0,112.0,229.0
2023-12 2주차,2023,12,2,6405,Baby Food,Baby Care,Kashyap-Reddy,7.0,0.0,4.0,248.0,12.0,116.0,236.0
2023-12 3주차,2023,12,3,6405,Baby Food,Baby Care,Kashyap-Reddy,4.0,0.0,2.0,252.0,12.0,118.0,240.0
2023-12 4주차,2023,12,4,6405,Baby Food,Baby Care,Kashyap-Reddy,13.0,0.0,0.0,265.0,12.0,118.0,253.0
2023-12 5주차,2023,12,5,6405,Baby Food,Baby Care,Kashyap-Reddy,6.0,0.0,2.0,271.0,12.0,120.0,259.0
2024-01 1주차,2024,1,1,6405,Baby Food,Baby Care,Kashyap-Reddy,4.0,0.0,6.0,275.0,12.0,126.0,263.0
2024-01 2주차,2024,1,2,6405,Baby Food,Baby Care,Kashyap-Reddy,12.0,0.0,0.0,287.0,12.0,126.0,275.0
2024-01 3주차,2024,1,3,6405,Baby Food,Baby Care,Kashyap-Reddy,3.0,0.0,6.0,290.0,12.0,132.0,278.0
2024-01 4주차,2024,1,4,6405,Baby Food,Baby Care,Kashyap-Reddy,0.0,2.0,2.0,290.0,14.0,134.0,276.0
2024-01 5주차,2024,1,5,6405,Baby Food,Baby Care,Kashyap-Reddy,3.0,0.0,2.0,293.0,14.0,136.0,279.0
2024-02 1주차,2024,2,1,6405,Baby Food,Baby Care,Kashyap-Reddy,3.0,1.0,6.0,296.0,15.0,142.0,281.0
2024-02 2주차,2024,2,2,6405,Baby Food,Baby Care,Kashyap-Reddy,3.0,0.0,4.0,299.0,15.0,146.0,284.0
2024-02 3주차,2024,2,3,6405,Baby Food,Baby Care,Kashyap-Reddy,12.0,0.0,0.0,311.0,15.0,146.0,296.0
2024-02 4주차,2024,2,4,6405,Baby Food,Baby Care,Kashyap-Reddy,4.0,0.0,8.0,315.0,15.0,154.0,300.0
2024-02 5주차,2024,2,5,6405,Baby Food,Baby Care,Kashyap-Reddy,3.0,0.0,0.0,318.0,15.0,154.0,303.0
2024-03 1주차,2024,3,1,6405,Baby Food,Baby Care,Kashyap-Reddy,6.0,0.0,6.0,324.0,15.0,160.0,309.0
2024-03 2주차,2024,3,2,6405,Baby Food,Baby Care,Kashyap-Reddy,12.0,0.0,2.0,336.0,15.0,162.0,321.0
2024-03 3주차,2024,3,3,6405,Baby Food,Baby Care,Kashyap-Reddy,0.0,0.0,2.0,336.0,15.0,164.0,321.0
2024-03 4주차,2024,3,4,6405,Baby Food,Baby Care,Kashyap-Reddy,9.0,3.0,2.0,345.0,18.0,166.0,327.0
2024-03 5주차,2024,3,5,6405,Baby Food,Baby Care,Kashyap-Reddy,3.0,0.0,2.0,348.0,18.0,168.0,330.0
2024-04 1주차,2024,4,1,6405,Baby Food,Baby Care,Kashyap-Reddy,6.0,0.0,4.0,354.0,18.0,172.0,336.0
2024-04 2주차,2024,4,2,6405,Baby Food,Baby Care,Kashyap-Reddy,15.0,0.0,6.0,369.0,18.0,178.0,351.0
2024-04 3주차,2024,4,3,6405,Baby Food,Baby Care,Kashyap-Reddy,0.0,0.0,2.0,369.0,18.0,180.0,351.0
2024-04 4주차,2024,4,4,6405,Baby Food,Baby Care,Kashyap-Reddy,4.0,0.0,4.0,373.0,18.0,184.0,355.0
2024-04 5주차,2024,4,5,6405,Baby Food,Baby Care,Kashyap-Reddy,3.0,0.0,0.0,376.0,18.0,184.0,358.0
2024-05 1주차,2024,5,1,6405,Baby Food,Baby Care,Kashyap-Reddy,6.0,0.0,4.0,382.0,18.0,188.0,364.0
2024-05 2주차,2024,5,2,6405,Baby Food,Baby Care,Kashyap-Reddy,7.0,0.0,12.0,389.0,18.0,200.0,371.0
2024-05 3주차,2024,5,3,6405,Baby Food,Baby Care,Kashyap-Reddy,9.0,0.0,0.0,398.0,18.0,200.0,380.0
2024-05 4주차,2024,5,4,6405,Baby Food,Baby Care,Kashyap-Reddy,7.0,0.0,4.0,405.0,18.0,204.0,387.0
2024-05 5주차,2024,5,5,6405,Baby Food,Baby Care,Kashyap-Reddy,6.0,0.0,2.0,411.0,18.0,206.0,393.0
2024-06 1주차,2024,6,1,6405,Baby Food,Baby Care,Kashyap-Reddy,14.0,0.0,0.0,425.0,18.0,206.0,407.0
2024-06 2주차,2024,6,2,6405,Baby Food,Baby Care,Kashyap-Reddy,0.0,1.0,6.0,425.0,19.0,212.0,406.0
2024-06 3주차,2024,6,3,6405,Baby Food,Baby Care,Kashyap-Reddy,6.0,0.0,4.0,431.0,19.0,216.0,412.0
2024-06 4주차,2024,6,4,6405,Baby Food,Baby Care,Kashyap-Reddy,0.0,3.0,6.0,431.0,22.0,222.0,409.0
2024-06 5주차,2024,6,5,6405,Baby Food,Baby Care,Kashyap-Reddy,3.0,0.0,0.0,434.0,22.0,222.0,412.0
2024-07 1주차,2024,7,1,6405,Baby Food,Baby Care,Kashyap-Reddy,9.0,0.0,2.0,443.0,22.0,224.0,421.0
2024-07 2주차,2024,7,2,6405,Baby Food,Baby Care,Kashyap-Reddy,3.0,2.0,2.0,446.0,24.0,226.0,422.0
2024-07 3주차,2024,7,3,6405,Baby Food,Baby Care,Kashyap-Reddy,0.0,3.0,2.0,446.0,27.0,228.0,419.0
2024-07 4주차,2024,7,4,6405,Baby Food,Baby Care,Kashyap-Reddy,13.0,0.0,8.0,459.0,27.0,236.0,432.0
2024-07 5주차,2024,7,5,6405,Baby Food,Baby Care,Kashyap-Reddy,3.0,2.0,2.0,462.0,29.0,238.0,433.0
2024-08 1주차,2024,8,1,6405,Baby Food,Baby Care,Kashyap-Reddy,3.0,0.0,2.0,465.0,29.0,240.0,436.0
2024-08 2주차,2024,8,2,6405,Baby Food,Baby Care,Kashyap-Reddy,3.0,0.0,4.0,468.0,29.0,244.0,439.0
2024-08 3주차,2024,8,3,6405,Baby Food,Baby Care,Kashyap-Reddy,3.0,0.0,4.0,471.0,29.0,248.0,442.0
2024-08 4주차,2024,8,4,6405,Baby Food,Baby Care,Kashyap-Reddy,9.0,0.0,0.0,480.0,29.0,248.0,451.0
2024-08 5주차,2024,8,5,6405,Baby Food,Baby Care,Kashyap-Reddy,3.0,0.0,0.0,483.0,29.0,248.0,454.0
2024-09 1주차,2024,9,1,6405,Baby Food,Baby Care,Kashyap-Reddy,3.0,0.0,4.0,486.0,29.0,252.0,457.0
2024-09 2주차,2024,9,2,6405,Baby Food,Baby Care,Kashyap-Reddy,6.0,2.0,2.0,492.0,31.0,254.0,461.0
2024-09 3주차,2024,9,3,6405,Baby Food,Baby Care,Kashyap-Reddy,11.0,0.0,6.0,503.0,31.0,260.0,472.0
2024-09 4주차,2024,9,4,6405,Baby Food,Baby Care,Kashyap-Reddy,6.0,0.0,4.0,509.0,31.0,264.0,478.0
2024-09 5주차,2024,9,5,6405,Baby Food,Baby Care,Kashyap-Reddy,4.0,0.0,0.0,513.0,31.0,264.0,482.0
2024-10 1주차,2024,10,1,6405,Baby Food,Baby Care,Kashyap-Reddy,3.0,0.0,2.0,516.0,31.0,266.0,485.0
2024-10 2주차,2024,10,2,6405,Baby Food,Baby Care,Kashyap-Reddy,12.0,0.0,6.0,528.0,31.0,272.0,497.0
2024-10 3주차,2024,10,3,6405,Baby Food,Baby Care,Kashyap-Reddy,6.0,3.0,2.0,534.0,34.0,274.0,500.0
2024-10 4주차,2024,10,4,6405,Baby Food,Baby Care,Kashyap-Reddy,6.0,0.0,4.0,540.0,34.0,278.0,506.0
2024-10 5주차,2024,10,5,6405,Baby Food,Baby Care,Kashyap-Reddy,6.0,0.0,2.0,546.0,34.0,280.0,512.0
2024-11 1주차,2024,11,1,6405,Baby Food,Baby Care,Kashyap-Reddy,10.0,0.0,0.0,556.0,34.0,280.0,522.0
