product_id,date,stock_received,damaged_stock,period_key,product_name,category,brand,price,mrp,margin_percentage,shelf_life_days,min_stock_level,max_stock_level
654623,2023-03-01,2,0,2023-03,Chips,Snacks & Munchies,Pradhan and Sons,422.14,649.45,35.0,90,18,76
561860,2023-03-01,1,0,2023-03,Orange Juice,Cold Drinks & Juices,Gupta Ltd,874.78,1249.69,30.0,180,21,90
53833,2023-03-01,1,0,2023-03,Rice,Grocery & Staples,Tella-Master,134.69,158.46,15.0,365,26,89
903336,2023-03-01,1,0,2023-03,Pulses,Grocery & Staples,"Vaidya, Amble and Palla",551.88,649.27,15.0,365,14,60
336847,2023-03-01,1,0,2023-03,Toilet Cleaner,Household Care,"Dayal, Mammen and More",936.98,1249.31,25.0,365,17,55
144124,2023-03-01,1,0,2023-03,Detergent,Household Care,Lalla-Srinivasan,162.67,216.89,25.0,365,11,82
709916,2023-03-01,1,0,2023-03,Detergent,Household Care,Varkey LLC,33.76,45.01,25.0,365,30,88
700048,2023-03-01,2,0,2023-03,Dish Soap,Household Care,Khalsa-Bhavsar,141.28,188.37,25.0,365,25,98
767398,2023-03-01,2,0,2023-03,Dish Soap,Household Care,"Arya, Sundaram and Pingle",22.14,29.52,25.0,365,15,57
490939,2023-03-01,1,0,2023-03,Lotion,Personal Care,"Roy, Barad and De",80.25,123.46,35.0,365,12,67
124290,2023-03-01,2,0,2023-03,Lotion,Personal Care,Sachdev Group,39.65,61.0,35.0,365,23,71
853932,2023-03-01,1,0,2023-03,Baby Wipes,Baby Care,Ranganathan-Peri,941.19,1344.56,30.0,365,21,94
131748,2023-03-01,1,0,2023-03,Dog Food,Pet Care,"Shroff, Wason and Dugar",81.35,125.15,35.0,365,30,53
451812,2023-03-01,2,0,2023-03,Pain Reliever,Pharmacy,"Batra, Sant and Mandal",530.85,663.56,20.0,365,29,63
137909,2023-03-01,1,0,2023-03,Cough Syrup,Pharmacy,Dalal PLC,864.3,1080.37,20.0,365,23,65
298985,2023-03-01,1,0,2023-03,Vitamins,Pharmacy,"Ramanathan, Joshi and Srinivasan",183.76,229.7,20.0,365,11,61
890623,2023-03-01,1,0,2023-03,Onions,Fruits & Vegetables,"Sangha, Nagar and Varty",354.52,472.69,25.0,3,27,55
473929,2023-03-01,2,0,2023-03,Carrots,Fruits & Vegetables,"Bhardwaj, Bhatia and Deshmukh",440.19,586.92,25.0,3,19,70
891833,2023-03-01,1,0,2023-03,Curd,Dairy & Breakfast,Mani PLC,493.19,616.49,20.0,7,11,69
798639,2023-03-01,1,0,2023-03,Eggs,Dairy & Breakfast,Subramaniam LLC,211.25,264.06,20.0,7,12,78
734789,2023-03-01,1,0,2023-03,Popcorn,Snacks & Munchies,"Chaudhari, Pant and Singh",395.82,608.95,35.0,90,22,66
542300,2023-03-01,2,0,2023-03,Popcorn,Snacks & Munchies,Gulati-Tandon,255.35,392.85,35.0,90,11,66
890232,2023-03-01,2,0,2023-03,Mango Drink,Cold Drinks & Juices,Jha Group,432.0,617.14,30.0,180,20,91
398340,2023-03-01,1,0,2023-03,Instant Noodles,Instant & Frozen Food,"Nadig, Zachariah and Soni",651.93,1086.55,40.0,180,11,56
470449,2023-03-01,2,0,2023-03,Frozen Biryani,Instant & Frozen Food,Kohli-Sawhney,827.77,1379.62,40.0,180,27,57
692985,2023-03-01,1,0,2023-03,Pulses,Grocery & Staples,"Wable, Sankaran and Hari",197.39,232.22,15.0,365,30,86
490602,2023-03-01,1,0,2023-03,Sugar,Grocery & Staples,Raghavan Inc,549.47,646.44,15.0,365,20,71
451933,2023-03-01,1,0,2023-03,Wheat Flour,Grocery & Staples,Nadig Ltd,568.94,669.34,15.0,365,28,98
552496,2023-03-01,1,0,2023-03,Dish Soap,Household Care,Dhar PLC,508.0,677.33,25.0,365,17,59
677542,2023-03-01,1,0,2023-03,Toilet Cleaner,Household Care,Thaman-Lanka,212.61,283.48,25.0,365,10,52
604184,2023-03-01,1,0,2023-03,Toilet Cleaner,Household Care,"Gaba, Sodhi and Choudhary",397.55,530.07,25.0,365,24,84
672059,2023-03-01,2,0,2023-03,Toothpaste,Personal Care,Kaur-Gola,672.73,1034.97,35.0,365,25,81
219598,2023-03-01,1,0,2023-03,Shampoo,Personal Care,Arora-Magar,367.08,564.74,35.0,365,28,83
449106,2023-03-01,2,0,2023-03,Soap,Personal Care,"Shere, Thakur and Naik",48.55,74.69,35.0,365,30,95
927651,2023-03-01,1,0,2023-03,Baby Wipes,Baby Care,Narula Group,426.72,609.6,30.0,365,15,60
930284,2023-03-01,1,0,2023-03,Baby Food,Baby Care,"Garg, Saraf and Dutta",189.47,270.67,30.0,365,20,58
240179,2023-03-01,2,0,2023-03,Cough Syrup,Pharmacy,Ram-Suri,90.56,113.2,20.0,365,20,56
883013,2023-03-01,2,0,2023-03,Eggs,Dairy & Breakfast,Chahal Group,989.88,1237.35,20.0,7,13,98
183929,2023-03-01,1,0,2023-03,Bread,Dairy & Breakfast,"Nagi, Sampath and Khurana",738.74,923.42,20.0,7,20,73
313754,2023-03-01,1,0,2023-03,Biscuits,Snacks & Munchies,"Swaminathan, Mahal and Dara",136.6,210.15,35.0,90,25,67
658389,2023-03-01,2,0,2023-03,Popcorn,Snacks & Munchies,"Chanda, Som and Vohra",152.55,234.69,35.0,90,22,68
491521,2023-03-01,2,0,2023-03,Nuts,Snacks & Munchies,Karpe Inc,556.35,855.92,35.0,90,28,98
962054,2023-03-01,1,0,2023-03,Orange Juice,Cold Drinks & Juices,Toor-Nagar,16.86,24.09,30.0,180,11,74
532965,2023-03-01,1,0,2023-03,Frozen Pizza,Instant & Frozen Food,Sachdev Inc,307.23,512.05,40.0,180,20,94
606256,2023-03-01,2,0,2023-03,Frozen Biryani,Instant & Frozen Food,Agate Ltd,369.28,615.47,40.0,180,16,57
993331,2023-03-01,2,0,2023-03,Pulses,Grocery & Staples,"Parmer, Gola and Yogi",102.44,120.52,15.0,365,28,86
435929,2023-03-01,1,0,2023-03,Toilet Cleaner,Household Care,Memon Ltd,856.89,1142.52,25.0,365,13,71
697683,2023-03-01,1,0,2023-03,Toilet Cleaner,Household Care,"Murty, Varghese and Saxena",123.74,164.99,25.0,365,14,82
448752,2023-03-01,2,0,2023-03,Toilet Cleaner,Household Care,Batta-Doctor,160.07,213.43,25.0,365,23,96
140154,2023-03-01,1,0,2023-03,Shampoo,Personal Care,Malhotra LLC,171.2,263.38,35.0,365,24,59
440875,2023-03-01,1,0,2023-03,Baby Wipes,Baby Care,Loyal Inc,275.03,392.9,30.0,365,15,80
951463,2023-03-01,1,0,2023-03,Pet Treats,Pet Care,Balakrishnan-Kaur,787.4,1211.38,35.0,365,16,82
525531,2023-03-01,1,0,2023-03,Dog Food,Pet Care,Sandal PLC,831.1,1278.62,35.0,365,28,65
677169,2023-03-01,1,0,2023-03,Cough Syrup,Pharmacy,Char-Divan,261.03,326.29,20.0,365,12,77
799459,2023-03-01,1,0,2023-03,Vitamins,Pharmacy,"Garg, Kari and Kapur",852.02,1065.02,20.0,365,29,66
992178,2023-03-01,1,0,2023-03,Pain Reliever,Pharmacy,Basu and Sons,632.43,790.54,20.0,365,16,89
114414,2023-03-01,1,0,2023-03,Vitamins,Pharmacy,Kara-Golla,832.06,1040.07,20.0,365,26,66
153019,2023-03-01,1,0,2023-03,Onions,Fruits & Vegetables,Aurora LLC,947.95,1263.93,25.0,3,13,88
77308,2023-03-01,1,0,2023-03,Onions,Fruits & Vegetables,Ratta-Sagar,223.27,297.69,25.0,3,29,91
15314,2023-03-01,1,0,2023-03,Cheese,Dairy & Breakfast,Banik-Ratta,578.85,723.56,20.0,7,30,91
41853,2023-03-01,1,0,2023-03,Curd,Dairy & Breakfast,Handa PLC,910.44,1138.05,20.0,7,14,92
741341,2023-03-01,2,0,2023-03,Eggs,Dairy & Breakfast,Prasad LLC,923.84,1154.8,20.0,7,13,62
291238,2023-03-01,2,0,2023-03,Chocolates,Snacks & Munchies,"Sinha, Pau and Chhabra",746.03,1147.74,35.0,90,16,68
832348,2023-03-01,2,0,2023-03,Biscuits,Snacks & Munchies,Jani-Ram,831.43,1279.12,35.0,90,10,79
681063,2023-03-01,1,0,2023-03,Mango Drink,Cold Drinks & Juices,Dass and Sons,321.28,458.97,30.0,180,20,91
378287,2023-03-01,1,0,2023-03,Lemonade,Cold Drinks & Juices,Ramesh-Jain,332.84,475.49,30.0,180,22,51
712307,2023-03-01,1,0,2023-03,Orange Juice,Cold Drinks & Juices,Chana LLC,264.89,378.41,30.0,180,16,73
623234,2023-03-01,1,0,2023-03,Frozen Biryani,Instant & Frozen Food,Chakrabarti-Batra,329.79,549.65,40.0,180,13,72
272170,2023-03-01,2,0,2023-03,Ice Cream,Instant & Frozen Food,Purohit Group,140.8,234.67,40.0,180,10,92
807452,2023-03-01,1,0,2023-03,Pulses,Grocery & Staples,Naik Ltd,144.19,169.64,15.0,365,27,61
6405,2023-03-01,2,0,2023-03,Baby Food,Baby Care,Kashyap-Reddy,236.51,337.87,30.0,365,11,81
57405,2023-03-01,1,0,2023-03,Baby Food,Baby Care,Srinivas PLC,607.67,868.1,30.0,365,21,64
757274,2023-03-01,2,0,2023-03,Pet Treats,Pet Care,"Minhas, Kapoor and Sethi",98.32,151.26,35.0,365,27,95
425341,2023-03-01,1,0,2023-03,Pet Treats,Pet Care,"Mani, Dhar and Muni",486.28,748.12,35.0,365,21,68
274207,2023-03-01,1,0,2023-03,Cough Syrup,Pharmacy,"Savant, Batta and Mander",328.51,410.64,20.0,365,25,51
706112,2023-03-01,2,0,2023-03,Vitamins,Pharmacy,"Magar, Gara and Garg",478.79,598.49,20.0,365,12,77
123983,2023-03-01,2,0,2023-03,Cough Syrup,Pharmacy,Kurian-Chhabra,785.67,982.09,20.0,365,25,72
669378,2023-03-01,1,0,2023-03,Potatoes,Fruits & Vegetables,Chadha and Sons,212.14,282.85,25.0,3,23,70
965755,2023-03-01,2,0,2023-03,Bananas,Fruits & Vegetables,"Doshi, Sarraf and Sama",532.57,710.09,25.0,3,21,91
222892,2023-03-01,1,0,2023-03,Tomatoes,Fruits & Vegetables,Ramakrishnan-Ghose,869.22,1158.96,25.0,3,28,88
516376,2023-03-01,2,0,2023-03,Onions,Fruits & Vegetables,Agarwal-Dhar,877.43,1169.91,25.0,3,21,71
812607,2023-03-01,1,0,2023-03,Potatoes,Fruits & Vegetables,Rege Group,416.65,555.53,25.0,3,11,63
714999,2023-03-01,1,0,2023-03,Bread,Dairy & Breakfast,Kala Group,882.51,1103.14,20.0,7,27,81
382511,2023-03-01,1,0,2023-03,Butter,Dairy & Breakfast,Bora-Thakkar,702.54,878.17,20.0,7,26,88
500633,2023-03-01,1,0,2023-03,Cereal,Dairy & Breakfast,Trivedi-Ahluwalia,154.5,193.12,20.0,7,24,87
799952,2023-03-01,1,0,2023-03,Cheese,Dairy & Breakfast,Padmanabhan-Virk,922.64,1153.3,20.0,7,13,66
833557,2023-03-01,1,0,2023-03,Cereal,Dairy & Breakfast,"Gole, Chand and Dada",422.87,528.59,20.0,7,27,69
361361,2023-03-01,1,0,2023-03,Biscuits,Snacks & Munchies,"Kunda, Dave and Sahni",826.21,1271.09,35.0,90,20,64
990993,2023-03-01,1,0,2023-03,Chocolates,Snacks & Munchies,Guha-Subramaniam,263.7,405.69,35.0,90,22,61
914071,2023-03-01,1,0,2023-03,Chips,Snacks & Munchies,Datta Ltd,296.94,456.83,35.0,90,25,90
60619,2023-03-01,2,0,2023-03,Iced Tea,Cold Drinks & Juices,Bhasin LLC,726.41,1037.73,30.0,180,10,97
107548,2023-03-01,1,0,2023-03,Cola,Cold Drinks & Juices,"Bhandari, Bhasin and Palan",891.6,1273.71,30.0,180,27,53
194682,2023-03-01,1,0,2023-03,Iced Tea,Cold Drinks & Juices,Sastry-Issac,912.29,1303.27,30.0,180,11,86
228286,2023-03-01,2,0,2023-03,Cola,Cold Drinks & Juices,Bhattacharyya PLC,179.08,255.83,30.0,180,26,79
33955,2023-03-01,1,0,2023-03,Frozen Pizza,Instant & Frozen Food,Baral Group,186.08,310.13,40.0,180,29,84
131937,2023-03-01,1,0,2023-03,Frozen Pizza,Instant & Frozen Food,"Varkey, Devi and Ganguly",287.81,479.68,40.0,180,18,68
187399,2023-03-01,1,0,2023-03,Frozen Pizza,Instant & Frozen Food,Chauhan Inc,53.49,89.15,40.0,180,14,73
721521,2023-03-01,1,0,2023-03,Rice,Grocery & Staples,"Ramanathan, Agarwal and Baria",417.39,491.05,15.0,365,20,72
120532,2023-03-01,1,0,2023-03,Wheat Flour,Grocery & Staples,Nazareth Ltd,697.53,820.62,15.0,365,29,95
760684,2023-03-01,1,0,2023-03,Rice,Grocery & Staples,Kanda-Gupta,71.6,84.24,15.0,365,14,64
937542,2023-03-01,1,0,2023-03,Wheat Flour,Grocery & Staples,Khurana and Sons,97.04,114.16,15.0,365,28,93
739448,2023-03-01,1,0,2023-03,Dish Soap,Household Care,Mand-Choudhry,755.66,1007.55,25.0,365,24,79
133542,2023-03-01,2,0,2023-03,Detergent,Household Care,Edwin-Lall,68.49,91.32,25.0,365,21,72
4452,2023-03-01,1,0,2023-03,Baby Wipes,Baby Care,Morar-Mistry,169.88,242.69,30.0,365,27,100
186168,2023-03-01,1,0,2023-03,Dog Food,Pet Care,"Parekh, Lad and Kadakia",878.8,1352.0,35.0,365,13,75
537274,2023-03-01,1,0,2023-03,Pet Treats,Pet Care,Lal-Chauhan,702.71,1081.09,35.0,365,17,67
760828,2023-03-01,1,0,2023-03,Pet Treats,Pet Care,"Khurana, Khosla and Yohannan",563.45,866.85,35.0,365,23,93
557908,2023-03-01,1,0,2023-03,Vitamins,Pharmacy,Sundaram Inc,942.37,1177.96,20.0,365,14,53
237083,2023-03-01,1,0,2023-03,Cough Syrup,Pharmacy,Hayer-Banerjee,577.13,721.41,20.0,365,24,86
196719,2023-03-01,2,0,2023-03,Bananas,Fruits & Vegetables,Yogi Group,217.5,290.0,25.0,3,15,91
462526,2023-03-01,1,0,2023-03,Curd,Dairy & Breakfast,Pau and Sons,449.97,562.46,20.0,7,25,69
888807,2023-03-01,1,0,2023-03,Bread,Dairy & Breakfast,Arya Group,230.58,288.23,20.0,7,13,91
337168,2023-03-01,1,0,2023-03,Eggs,Dairy & Breakfast,Dasgupta PLC,545.49,681.86,20.0,7,25,98
659290,2023-03-01,1,0,2023-03,Cheese,Dairy & Breakfast,Kapadia-D’Alia,319.34,399.17,20.0,7,18,66
300159,2023-03-01,2,0,2023-03,Cola,Cold Drinks & Juices,"Basu, Rout and Mistry",44.35,63.36,30.0,180,20,93
945635,2023-03-01,2,0,2023-03,Pulses,Grocery & Staples,Balasubramanian PLC,778.9,916.35,15.0,365,16,59
131136,2023-03-01,1,0,2023-03,Salt,Grocery & Staples,Deshpande-Rama,37.8,44.47,15.0,365,29,95
747801,2023-03-01,1,0,2023-03,Toilet Cleaner,Household Care,Saha-Vora,277.76,370.35,25.0,365,23,71
968887,2023-03-01,1,0,2023-03,Dish Soap,Household Care,Keer-Gill,40.7,54.27,25.0,365,18,92
897083,2023-03-01,2,0,2023-03,Detergent,Household Care,Dutta-Halder,972.69,1296.92,25.0,365,10,100
473647,2023-03-01,2,0,2023-03,Toothpaste,Personal Care,Ben-Ravi,43.05,66.23,35.0,365,18,82
82484,2023-03-01,1,0,2023-03,Baby Food,Baby Care,Mallick PLC,914.88,1306.97,30.0,365,12,73
432617,2023-03-01,1,0,2023-03,Baby Wipes,Baby Care,Dora-Pillai,863.18,1233.11,30.0,365,17,97
566052,2023-03-01,1,0,2023-03,Pain Reliever,Pharmacy,"Apte, Soman and Raju",87.3,109.12,20.0,365,14,53
264803,2023-03-01,1,0,2023-03,Vitamins,Pharmacy,Gole-Doshi,995.98,1244.97,20.0,365,17,69
154179,2023-03-01,2,0,2023-03,Pain Reliever,Pharmacy,"Barad, Devi and Andra",582.87,728.59,20.0,365,10,59
39154,2023-03-01,1,0,2023-03,Mangoes,Fruits & Vegetables,"Suresh, Bose and Bajwa",946.86,1262.48,25.0,3,21,84
349294,2023-03-01,1,0,2023-03,Onions,Fruits & Vegetables,Ganesan Ltd,934.75,1246.33,25.0,3,25,70
284460,2023-03-01,1,0,2023-03,Potatoes,Fruits & Vegetables,"Ramakrishnan, Anand and Khare",505.95,674.6,25.0,3,21,85
654297,2023-03-01,2,0,2023-03,Potatoes,Fruits & Vegetables,Chandran-Dass,13.25,17.67,25.0,3,20,86
552883,2023-03-01,1,0,2023-03,Potatoes,Fruits & Vegetables,"Balan, Patel and Mall",888.16,1184.21,25.0,3,18,94
952124,2023-03-01,2,0,2023-03,Onions,Fruits & Vegetables,"Wali, Sood and Bala",127.08,169.44,25.0,3,15,50
136533,2023-03-01,2,0,2023-03,Eggs,Dairy & Breakfast,"Raghavan, Magar and Shanker",826.21,1032.76,20.0,7,15,75
880510,2023-03-01,1,0,2023-03,Bread,Dairy & Breakfast,Roy-Char,951.43,1189.29,20.0,7,29,54
762527,2023-03-01,1,0,2023-03,Biscuits,Snacks & Munchies,"Chad, Yohannan and Chopra",690.08,1061.66,35.0,90,23,71
991434,2023-03-01,2,0,2023-03,Cookies,Snacks & Munchies,Mital-Oza,237.62,365.57,35.0,90,12,87
319388,2023-03-01,1,0,2023-03,Orange Juice,Cold Drinks & Juices,D’Alia-Dey,657.8,939.71,30.0,180,26,56
679321,2023-03-01,1,0,2023-03,Cola,Cold Drinks & Juices,Khurana-Dewan,738.46,1054.94,30.0,180,20,68
513199,2023-03-01,2,0,2023-03,Cola,Cold Drinks & Juices,Rastogi Inc,422.23,603.19,30.0,180,26,52
689769,2023-03-01,1,0,2023-03,Frozen Vegetables,Instant & Frozen Food,Kothari-Datta,46.62,77.7,40.0,180,17,51
491314,2023-03-01,1,0,2023-03,Ice Cream,Instant & Frozen Food,Banerjee Inc,973.44,1622.4,40.0,180,11,71
652118,2023-03-01,1,0,2023-03,Frozen Biryani,Instant & Frozen Food,Agate and Sons,22.04,36.73,40.0,180,19,55
589812,2023-03-01,1,0,2023-03,Detergent,Household Care,Bir PLC,163.03,217.37,25.0,365,22,52
9436,2023-03-01,2,0,2023-03,Toothpaste,Personal Care,Naidu PLC,88.43,136.05,35.0,365,19,76
799688,2023-03-01,2,0,2023-03,Lotion,Personal Care,Arora LLC,309.62,476.34,35.0,365,22,90
820973,2023-03-01,1,0,2023-03,Baby Wipes,Baby Care,Lall LLC,114.52,163.6,30.0,365,29,56
14145,2023-03-01,2,0,2023-03,Spinach,Fruits & Vegetables,"Thakur, Shah and Pingle",630.84,841.12,25.0,3,14,53
70969,2023-03-01,2,0,2023-03,Carrots,Fruits & Vegetables,Mohan Group,631.7,842.27,25.0,3,25,96
257719,2023-03-01,1,0,2023-03,Eggs,Dairy & Breakfast,Chaudhuri PLC,281.73,352.16,20.0,7,17,93
455083,2023-03-01,1,0,2023-03,Butter,Dairy & Breakfast,Dutta Inc,959.01,1198.76,20.0,7,29,63
592784,2023-03-01,1,0,2023-03,Biscuits,Snacks & Munchies,"Andra, Mander and Kari",280.35,431.31,35.0,90,27,64
949818,2023-03-01,2,0,2023-03,Biscuits,Snacks & Munchies,Yohannan Inc,483.05,743.15,35.0,90,21,76
690565,2023-03-01,1,0,2023-03,Cookies,Snacks & Munchies,"Roy, Seth and Patla",951.27,1463.49,35.0,90,15,56
952168,2023-03-01,1,0,2023-03,Popcorn,Snacks & Munchies,"Krishnamurthy, Sibal and Das",236.95,364.54,35.0,90,28,79
602241,2023-03-01,1,0,2023-03,Nuts,Snacks & Munchies,Bahl-Pau,976.55,1502.38,35.0,90,12,75
481843,2023-03-01,2,0,2023-03,Chocolates,Snacks & Munchies,"Taneja, Kala and Kota",297.68,457.97,35.0,90,10,88
171602,2023-03-01,2,0,2023-03,Cola,Cold Drinks & Juices,Pal-Sehgal,883.44,1262.06,30.0,180,28,58
712003,2023-03-01,1,0,2023-03,Cola,Cold Drinks & Juices,"Karan, Bandi and Acharya",671.68,959.54,30.0,180,30,54
954722,2023-03-01,1,0,2023-03,Ice Cream,Instant & Frozen Food,Mohan-Virk,616.45,1027.42,40.0,180,11,58
925482,2023-03-01,2,0,2023-03,Frozen Biryani,Instant & Frozen Food,Viswanathan-Sha,475.04,791.73,40.0,180,23,66
611575,2023-03-01,2,0,2023-03,Frozen Pizza,Instant & Frozen Food,"Bhat, Nigam and Hayer",482.06,803.43,40.0,180,25,87
901144,2023-03-01,1,0,2023-03,Sugar,Grocery & Staples,Deo-Kamdar,340.36,400.42,15.0,365,12,71
354409,2023-03-01,1,0,2023-03,Pulses,Grocery & Staples,Bose-Pandit,325.08,382.45,15.0,365,24,60
317242,2023-03-01,2,0,2023-03,Pulses,Grocery & Staples,Rastogi Group,198.15,233.12,15.0,365,22,63
327290,2023-03-01,2,0,2023-03,Sugar,Grocery & Staples,Nadkarni Inc,862.28,1014.45,15.0,365,22,65
704868,2023-03-01,1,0,2023-03,Detergent,Household Care,"Parikh, Oak and Kara",193.46,257.95,25.0,365,24,58
18035,2023-03-01,1,0,2023-03,Dish Soap,Household Care,Ramesh Inc,968.94,1291.92,25.0,365,12,87
91670,2023-03-01,1,0,2023-03,Dish Soap,Household Care,Barman-Ahluwalia,439.24,585.65,25.0,365,27,88
739534,2023-03-01,1,0,2023-03,Toilet Cleaner,Household Care,"Gera, Narang and Karpe",994.56,1326.08,25.0,365,14,59
385113,2023-03-01,1,0,2023-03,Lotion,Personal Care,"Sampath, Mane and Mody",816.38,1255.97,35.0,365,21,50
